fips_int,county_name,county_share,n_nodes,n_substation_nodes,n_uncovered_nodes,alpha,equal_pool_share,envelope_pool_share
6001,Alameda,0.02930792,99,99,0,0.0,0.0,0.02930792
6003,Alpine,0.0,1,1,0,0.0,0.0,0.0
6005,Amador,0.00179953,19,19,0,0.0,0.0,0.00179953
6007,Butte,0.00415314,55,55,0,0.0,0.0,0.00415314
6009,Calaveras,0.00075037,13,13,0,0.0,0.0,0.00075037
6011,Colusa,0.00108688,15,15,0,0.0,0.0,0.00108688
6013,Contra Costa,0.03545979,125,125,0,0.0,0.0,0.03545979
6017,El Dorado,0.00404581,26,26,0,0.0,0.0,0.00404581
6019,Fresno,0.02993839,123,123,0,0.0,0.0,0.02993839
6021,Glenn,0.00094666,15,15,0,0.0,0.0,0.00094666
6023,Humboldt,0.00246191,32,32,0,0.0,0.0,0.00246191
6025,Imperial,0.01185329,98,98,0,0.0,0.0,0.01185329
6027,Inyo,0.00020944,30,27,3,0.1,2.094e-05,0.0001885
6029,Kern,0.03150269,259,233,26,0.1003861,0.00316243,0.02834026
6031,Kings,0.00443453,33,29,4,0.12121212,0.00053752,0.00389701
6033,Lake,0.00099791,18,18,0,0.0,0.0,0.00099791
6035,Lassen,0.00026278,27,27,0,0.0,0.0,0.00026278
6037,Los Angeles,0.21371783,524,473,51,0.09732824,0.02080078,0.19291705
6039,Madera,0.00480004,22,22,0,0.0,0.0,0.00480004
6041,Marin,0.0039172,18,18,0,0.0,0.0,0.0039172
6043,Mariposa,0.00035875,5,5,0,0.0,0.0,0.00035875
6045,Mendocino,0.00120001,23,23,0,0.0,0.0,0.00120001
6047,Merced,0.00925488,51,51,0,0.0,0.0,0.00925488
6049,Modoc,0.00089305,14,14,0,0.0,0.0,0.00089305
6051,Mono,0.00018384,9,8,1,0.11111111,2.043e-05,0.00016341
6053,Monterey,0.00742537,56,56,0,0.0,0.0,0.00742537
6055,Napa,0.00410673,10,10,0,0.0,0.0,0.00410673
6057,Nevada,0.00210413,19,19,0,0.0,0.0,0.00210413
6059,Orange,0.07851436,120,119,1,0.00833333,0.00065429,0.07786007
6061,Placer,0.01125941,67,67,0,0.0,0.0,0.01125941
6063,Plumas,0.00043804,26,26,0,0.0,0.0,0.00043804
6065,Riverside,0.04026004,172,158,14,0.08139535,0.00327698,0.03698306
6067,Sacramento,0.03009504,289,289,0,0.0,0.0,0.03009504
6069,San Benito,0.00131605,5,5,0,0.0,0.0,0.00131605
6071,San Bernardino,0.09357609,236,204,32,0.13559322,0.01268828,0.08088781
6073,San Diego,0.13129687,183,183,0,0.0,0.0,0.13129687
6075,San Francisco,0.01305991,11,11,0,0.0,0.0,0.01305991
6077,San Joaquin,0.01964885,97,97,0,0.0,0.0,0.01964885
6079,San Luis Obispo,0.0057206,27,27,0,0.0,0.0,0.0057206
6081,San Mateo,0.01695003,49,49,0,0.0,0.0,0.01695003
6083,Santa Barbara,0.00938639,42,40,2,0.04761905,0.00044697,0.00893942
6085,Santa Clara,0.05092843,103,103,0,0.0,0.0,0.05092843
6087,Santa Cruz,0.00315039,22,22,0,0.0,0.0,0.00315039
6089,Shasta,0.00460665,93,93,0,0.0,0.0,0.00460665
6091,Sierra,0.00025528,6,6,0,0.0,0.0,0.00025528
6093,Siskiyou,0.00183254,41,41,0,0.0,0.0,0.00183254
6095,Solano,0.01137061,50,50,0,0.0,0.0,0.01137061
6097,Sonoma,0.00597685,53,53,0,0.0,0.0,0.00597685
6099,Stanislaus,0.01560208,94,94,0,0.0,0.0,0.01560208
6101,Sutter,0.00224337,22,22,0,0.0,0.0,0.00224337
6103,Tehama,0.00122612,12,12,0,0.0,0.0,0.00122612
6105,Trinity,0.00030653,22,22,0,0.0,0.0,0.00030653
6107,Tulare,0.01767385,56,56,0,0.0,0.0,0.01767385
6109,Tuolumne,0.00135666,26,26,0,0.0,0.0,0.00135666
6111,Ventura,0.01760891,65,65,0,0.0,0.0,0.01760891
6113,Yolo,0.0053106,18,18,0,0.0,0.0,0.0053106
6115,Yuba,0.00185658,23,23,0,0.0,0.0,0.00185658
